city,city_ascii,lat,lng,pop,country,iso2,iso3,province,abbr
Cincinnati,Cincinnati,39.16188479,-84.45692265,971191,United States of America,US,USA,Ohio,#N/A
Lexington,Lexington,38.05001467,-84.50002079,244972,United States of America,US,USA,Kentucky,#N/A
Covington,Covington,39.0840084,-84.50859908,313064.5,United States of America,US,USA,Kentucky,#N/A
Marietta,Marietta,33.95561342,-84.54324813,61360,United States of America,US,USA,Georgia,#N/A
Lansing,Lansing,42.73352724,-84.54673629,198821.5,United States of America,US,USA,Michigan,#N/A
Frankfort,Frankfort,38.2008065,-84.87335718,32214.5,United States of America,US,USA,Kentucky,#N/A
Richmond,Richmond,39.82889833,-84.89028121,41015.5,United States of America,US,USA,Indiana,#N/A
Petoskey,Petoskey,45.37375368,-84.95518681,9424,United States of America,US,USA,Michigan,#N/A
Dalton,Dalton,34.76972394,-84.97030217,45077.5,United States of America,US,USA,Georgia,#N/A
Columbus,Columbus,32.47043276,-84.98001734,202225,United States of America,US,USA,Georgia,#N/A
Apalachicola,Apalachicola,29.72561322,-84.99252303,2134,United States of America,US,USA,Florida,#N/A
La Grange,La Grange,33.03647056,-85.03187464,28887,United States of America,US,USA,Georgia,#N/A
Fort Wayne,Fort Wayne,41.08039817,-85.12998234,264793,United States of America,US,USA,Indiana,#N/A
Battle Creek,Battle Creek,42.32109764,-85.17974675,62454,United States of America,US,USA,Michigan,#N/A
Chattanooga,Chattanooga,35.06998985,-85.25000086,206571.5,United States of America,US,USA,Tennessee,#N/A
Muncie,Muncie,40.19375979,-85.38637496,75388,United States of America,US,USA,Indiana,#N/A
Dothan,Dothan,31.22345461,-85.39058659,61715,United States of America,US,USA,Alabama,#N/A
Cadillac,Cadillac,44.25121238,-85.41360844,12177.5,United States of America,US,USA,Michigan,#N/A
Auburn,Auburn,32.60970074,-85.48083948,61881,United States of America,US,USA,Alabama,#N/A
Kalamazoo,Kalamazoo,42.29215883,-85.58718958,128759.5,United States of America,US,USA,Michigan,#N/A
Traverse City,Traverse City,44.76844179,-85.62217452,28807,United States of America,US,USA,Michigan,#N/A
Panama City,Panama City,30.15861005,-85.65527328,68852.5,United States of America,US,USA,Florida,#N/A
Marion,Marion,40.55833701,-85.65917485,34249,United States of America,US,USA,Indiana,#N/A
Grand Rapids,Grand Rapids,42.96371991,-85.66994938,361934.5,United States of America,US,USA,Michigan,#N/A
Louisville,Louisville,38.22501691,-85.74870427,595819.5,United States of America,US,USA,Kentucky,#N/A
New Albany,New Albany,38.3108773,-85.82128382,78381.5,United States of America,US,USA,Indiana,#N/A
Enterprise,Enterprise,31.32781516,-85.84399561,23388.5,United States of America,US,USA,Alabama,#N/A
Elkhart,Elkhart,41.68294537,-85.96879419,100295,United States of America,US,USA,Indiana,#N/A
Gadsden,Gadsden,34.01455039,-86.00664718,39265,United States of America,US,USA,Alabama,#N/A
Kokomo,Kokomo,40.48676516,-86.13364201,53674,United States of America,US,USA,Indiana,#N/A
Indianapolis,Indianapolis,39.74998842,-86.17004806,1104641.5,United States of America,US,USA,Indiana,#N/A
Muskegon,Muskegon,43.23458193,-86.24836369,70644.5,United States of America,US,USA,Michigan,#N/A
South Bend,South Bend,41.68330711,-86.25001734,171791,United States of America,US,USA,Indiana,#N/A
Montgomery,Montgomery,32.36160219,-86.27918868,194491.5,United States of America,US,USA,Alabama,#N/A
Murfreesboro,Murfreesboro,35.84596315,-86.39026717,100237,United States of America,US,USA,Tennessee,#N/A
Bowling Green,Bowling Green,36.99069948,-86.44364893,61349,United States of America,US,USA,Kentucky,#N/A
Benton Harbor,Benton Harbor,42.11663983,-86.45419092,34637.5,United States of America,US,USA,Michigan,#N/A
Bloomington,Bloomington,39.16565716,-86.52640873,85781.5,United States of America,US,USA,Indiana,#N/A
Crestview,Crestview,30.75420677,-86.57260746,19552.5,United States of America,US,USA,Florida,#N/A
Huntsville,Huntsville,34.71995953,-86.60999536,185474.5,United States of America,US,USA,Alabama,#N/A
Nashville,Nashville,36.16997438,-86.77998499,703926,United States of America,US,USA,Tennessee,#N/A
Birmingham,Birmingham,33.53000633,-86.82499516,670142,United States of America,US,USA,Alabama,#N/A
Lafayette,Lafayette,40.41720868,-86.87824772,98104,United States of America,US,USA,Indiana,#N/A
Selma,Selma,32.40756838,-87.0211589,19553,United States of America,US,USA,Alabama,#N/A
Columbia,Columbia,35.61499534,-87.03526656,74866,United States of America,US,USA,Tennessee,#N/A
Escanaba,Escanaba,45.7456948,-87.06436039,14970,United States of America,US,USA,Michigan,#N/A
Owensboro,Owensboro,37.77457928,-87.11332381,61151.5,United States of America,US,USA,Kentucky,#N/A
Pensacola,Pensacola,30.42112632,-87.21693506,145319.5,United States of America,US,USA,Florida,#N/A
Gary,Gary,41.58039349,-87.33000309,335737,United States of America,US,USA,Indiana,#N/A
Clarksville,Clarksville,36.5300816,-87.35943282,122115,United States of America,US,USA,Tennessee,#N/A
Marquette,Marquette,46.54673118,-87.40658757,23711,United States of America,US,USA,Michigan,#N/A
Terre Haute,Terre Haute,39.46664654,-87.41387394,65149.5,United States of America,US,USA,Indiana,#N/A
Hopkinsville,Hopkinsville,36.86548749,-87.4886239,31630,United States of America,US,USA,Kentucky,#N/A
Madisonville,Madisonville,37.33274579,-87.5022148,20858.5,United States of America,US,USA,Kentucky,#N/A
Tuscaloosa,Tuscaloosa,33.22511538,-87.54417607,100594.5,United States of America,US,USA,Alabama,#N/A
Evansville,Evansville,37.97469627,-87.5558291,144788,United States of America,US,USA,Indiana,#N/A
Marinette,Marinette,45.10038535,-87.63047571,19170,United States of America,US,USA,Wisconsin,#N/A
Florence,Florence,34.79969627,-87.67724288,40806.5,United States of America,US,USA,Alabama,#N/A
Evanston,Evanston,42.04834943,-87.69995467,212243,United States of America,US,USA,Illinois,#N/A
Sheboygan,Sheboygan,43.75082949,-87.71442407,51148,United States of America,US,USA,Wisconsin,#N/A
Chicago,Chicago,41.82999066,-87.75005497,5915976,United States of America,US,USA,Illinois,#N/A
Racine,Racine,42.72771364,-87.81183415,105458.5,United States of America,US,USA,Wisconsin,#N/A
Waukegan,Waukegan,42.36404075,-87.8447262,144539,United States of America,US,USA,Illinois,#N/A
Kankakee,Kankakee,41.12036989,-87.86110763,48115.5,United States of America,US,USA,Illinois,#N/A
Milwaukee,Milwaukee,43.05265505,-87.91996708,983590,United States of America,US,USA,Wisconsin,#N/A
Green Bay,Green Bay,44.5299809,-88.00001388,149811.5,United States of America,US,USA,Wisconsin,#N/A
Mobile,Mobile,30.68002525,-88.04998499,221870,United States of America,US,USA,Alabama,#N/A
Iron Mountain,Iron Mountain,45.82246014,-88.06409265,12011,United States of America,US,USA,Michigan,#N/A
Joliet,Joliet,41.52998313,-88.10667403,362946.5,United States of America,US,USA,Illinois,#N/A
West Bend,West Bend,43.42570721,-88.18333602,31980.5,United States of America,US,USA,Wisconsin,#N/A
Urbana,Urbana,40.10999229,-88.20418746,91792.5,United States of America,US,USA,Illinois,#N/A
Waukesha,Waukesha,43.0116498,-88.23136926,159012,United States of America,US,USA,Wisconsin,#N/A
Elgin,Elgin,42.03946108,-88.28991866,244050,United States of America,US,USA,Illinois,#N/A
Aurora,Aurora,41.76539512,-88.29999557,273949.5,United States of America,US,USA,Illinois,#N/A
Appleton,Appleton,44.26867902,-88.40050623,136888.5,United States of America,US,USA,Wisconsin,#N/A
Fond du Lac,Fond du Lac,43.77343793,-88.44691166,48079.5,United States of America,US,USA,Wisconsin,#N/A
Oshkosh,Oshkosh,44.02510215,-88.54251306,67857.5,United States of America,US,USA,Wisconsin,#N/A
Hancock,Hancock,47.12729006,-88.5808053,10322.5,United States of America,US,USA,Michigan,#N/A
Paducah,Paducah,37.08371706,-88.60000309,33812,United States of America,US,USA,Kentucky,#N/A
Tupelo,Tupelo,34.25792055,-88.70333012,33928,United States of America,US,USA,Mississippi,#N/A
Meridian,Meridian,32.36418601,-88.70361434,40863.5,United States of America,US,USA,Mississippi,#N/A
Jackson,Jackson,35.61486615,-88.81389185,62638,United States of America,US,USA,Tennessee,#N/A
Biloxi,Biloxi,30.39580487,-88.88530868,43857,United States of America,US,USA,Mississippi,#N/A
Decatur,Decatur,39.8407064,-88.95473596,74967.5,United States of America,US,USA,Illinois,#N/A
Bloomington,Bloomington,40.48459475,-88.99359664,99842.5,United States of America,US,USA,Illinois,#N/A
Janesville,Janesville,42.68262596,-89.02157943,65476.5,United States of America,US,USA,Wisconsin,#N/A
Rockford,Rockford,42.26970542,-89.06969019,204371.5,United States of America,US,USA,Illinois,#N/A
Gulfport,Gulfport,30.3675637,-89.09276371,76646,United States of America,US,USA,Mississippi,#N/A
Laurel,Laurel,31.69737917,-89.1392725,23366,United States of America,US,USA,Mississippi,#N/A
Carbondale,Carbondale,37.72683026,-89.22024947,28473,United States of America,US,USA,Illinois,#N/A
Hattiesburg,Hattiesburg,31.32727256,-89.2902452,53498.5,United States of America,US,USA,Mississippi,#N/A
Madison,Madison,43.07301556,-89.40111699,276036,United States of America,US,USA,Wisconsin,#N/A
Rhinelander,Rhinelander,45.63991315,-89.41207239,9633,United States of America,US,USA,Wisconsin,#N/A
Cape Girardeau,Cape Girardeau,37.30582237,-89.51808659,38165.5,United States of America,US,USA,Illinois,#N/A
Wausau,Wausau,44.95915367,-89.6299919,56100.5,United States of America,US,USA,Wisconsin,#N/A
Springfield,Springfield,39.82000999,-89.65001652,125345,United States of America,US,USA,Illinois,#N/A
Peoria,Peoria,40.69998212,-89.67004114,142622,United States of America,US,USA,Illinois,#N/A
Slidell,Slidell,30.27495953,-89.78109379,56019,United States of America,US,USA,Louisiana,#N/A
Barlett,Barlett,35.22290041,-89.84109013,164843.5,United States of America,US,USA,Tennessee,#N/A
Memphis,Memphis,35.1199868,-89.99999516,753843.5,United States of America,US,USA,Tennessee,#N/A
Belleville,Belleville,38.52515362,-90.0002277,92409.5,United States of America,US,USA,Illinois,#N/A
Southaven,Southaven,34.96891075,-90.00345748,79923,United States of America,US,USA,Mississippi,#N/A
New Orleans,New Orleans,29.99500246,-90.03996688,527428.5,United States of America,US,USA,Louisiana,#N/A
Metairie,Metairie,29.98386619,-90.15277653,270171,United States of America,US,USA,Louisiana,#N/A
Ironwood,Ironwood,46.4558065,-90.15939112,6400,United States of America,US,USA,Michigan,#N/A
Alton,Alton,38.89099693,-90.18422164,57386,United States of America,US,USA,Illinois,#N/A
Jackson,Jackson,32.29881533,-90.18499679,213799,United States of America,US,USA,Mississippi,#N/A
St. Louis,St. Louis,38.63501772,-90.23998051,1259958,United States of America,US,USA,Missouri,#N/A
Galesburg,Galesburg,40.94777061,-90.37108362,32078.5,United States of America,US,USA,Illinois,#N/A
Poplar Bluff,Poplar Bluff,36.76019676,-90.40268376,18575,United States of America,US,USA,Missouri,#N/A
Paragould,Paragould,36.05708722,-90.50288436,22886,United States of America,US,USA,Arkansas,#N/A
Tomah,Tomah,43.98505292,-90.50389205,10796.5,United States of America,US,USA,Wisconsin,#N/A
St. Charles,St. Charles,38.78428509,-90.50616581,213139.5,United States of America,US,USA,Missouri,#N/A
Rock Island,Rock Island,41.49339622,-90.53461369,102055.5,United States of America,US,USA,Illinois,#N/A
Davenport,Davenport,41.55398684,-90.58753036,178282.5,United States of America,US,USA,Iowa,#N/A
Dubuque,Dubuque,42.50093162,-90.66445073,59834,United States of America,US,USA,Iowa,#N/A
Jonesboro,Jonesboro,35.84257835,-90.70416406,58322,United States of America,US,USA,Arkansas,#N/A
Houma,Houma,29.59593121,-90.71948613,48196,United States of America,US,USA,Louisiana,#N/A
Vicksburg,Vicksburg,32.3524813,-90.8777452,24669.5,United States of America,US,USA,Mississippi,#N/A
Greenville,Greenville,33.41037539,-91.06168746,36539.5,United States of America,US,USA,Mississippi,#N/A
Burlington,Burlington,40.80793418,-91.11276961,27690.5,United States of America,US,USA,Iowa,#N/A
Baton Rouge,Baton Rouge,30.45794578,-91.14015812,322710.5,United States of America,US,USA,Louisiana,#N/A
La Crosse,La Crosse,43.80136904,-91.23942855,69599.5,United States of America,US,USA,Wisconsin,#N/A
Natchez,Natchez,31.55480389,-91.38750737,20490.5,United States of America,US,USA,Mississippi,#N/A
Quincy,Quincy,39.9359719,-91.40972823,43419.5,United States of America,US,USA,Illinois,#N/A
Eau Claire,Eau Claire,44.81135907,-91.49835331,71296,United States of America,US,USA,Wisconsin,#N/A
Iowa City,Iowa City,41.66108624,-91.52997929,81343,United States of America,US,USA,Iowa,#N/A
Winona,Winona,44.0504236,-91.63919743,29757.5,United States of America,US,USA,Minnesota,#N/A
Cedar Rapids,Cedar Rapids,41.96998212,-91.66002303,149338.5,United States of America,US,USA,Iowa,#N/A
New Iberia,New Iberia,30.00358075,-91.81830794,34985,United States of America,US,USA,Louisiana,#N/A
Ely,Ely,47.90042116,-91.82569767,3687,United States of America,US,USA,Minnesota,#N/A
Pine Bluff,Pine Bluff,34.22869753,-92.00305119,51472,United States of America,US,USA,Arkansas,#N/A
Lafayette,Lafayette,30.19997703,-92.01994938,135205.5,United States of America,US,USA,Louisiana,#N/A
Superior,Superior,46.72124249,-92.10389775,27474,United States of America,US,USA,Wisconsin,#N/A
Duluth,Duluth,46.78333173,-92.10637822,82026.5,United States of America,US,USA,Minnesota,#N/A
Monroe,Monroe,32.50960349,-92.11919397,76674.5,United States of America,US,USA,Louisiana,#N/A
Jefferson City,Jefferson City,38.57662335,-92.17332503,45511,United States of America,US,USA,Missouri,#N/A
Little Rock,Little Rock,34.73608258,-92.33109318,227555,United States of America,US,USA,Arkansas,#N/A
Columbia,Columbia,38.95207847,-92.33390955,244754,United States of America,US,USA,Missouri,#N/A
Waterloo,Waterloo,42.49315432,-92.34279789,82091.5,United States of America,US,USA,Iowa,#N/A
Ottumwa,Ottumwa,41.01288291,-92.414809,25287.5,United States of America,US,USA,Iowa,#N/A
Alexandria,Alexandria,31.31109784,-92.44501388,60876,United States of America,US,USA,Louisiana,#N/A
Conway,Conway,35.09128054,-92.4513184,56759.5,United States of America,US,USA,Arkansas,#N/A
Rochester,Rochester,44.02205324,-92.46968937,102433,United States of America,US,USA,Minnesota,#N/A
Virginia,Virginia,47.52367413,-92.53640365,8709,United States of America,US,USA,Minnesota,#N/A
Kirksville,Kirksville,40.19368227,-92.58280908,18083,United States of America,US,USA,Missouri,#N/A
El Dorado,El Dorado,33.21392743,-92.66251998,21384.5,United States of America,US,USA,Arkansas,#N/A
Hot Springs,Hot Springs,34.50395205,-93.05500248,40826,United States of America,US,USA,Arkansas,#N/A
St. Paul,St. Paul,44.94398663,-93.08497481,509961,United States of America,US,USA,Minnesota,#N/A
Mason City,Mason City,43.15401837,-93.20083338,27327,United States of America,US,USA,Iowa,#N/A
Lake Charles,Lake Charles,30.22638369,-93.21718897,77065,United States of America,US,USA,Louisiana,#N/A
Lakeville,Lakeville,44.65010276,-93.24251042,156151,United States of America,US,USA,Minnesota,#N/A
Minneapolis,Minneapolis,44.97997927,-93.25178634,1491886.5,United States of America,US,USA,Minnesota,#N/A
Faribault,Faribault,44.29048647,-93.26801274,24004.5,United States of America,US,USA,Minnesota,#N/A
Springfield,Springfield,37.18001609,-93.31999923,180691,United States of America,US,USA,Missouri,#N/A
Albert Lea,Albert Lea,43.64778668,-93.36870427,19063.5,United States of America,US,USA,Minnesota,#N/A
International Falls,International Falls,48.60112775,-93.4108464,10832,United States of America,US,USA,Minnesota,#N/A
Ames,Ames,42.05385297,-93.61972254,56855,United States of America,US,USA,Iowa,#N/A
Des Moines,Des Moines,41.57998008,-93.61998092,286917.5,United States of America,US,USA,Iowa,#N/A
Shreveport,Shreveport,32.50001752,-93.77002344,224099,United States of America,US,USA,Louisiana,#N/A
Port Arthur,Port Arthur,29.89898765,-93.92859257,54972,United States of America,US,USA,Texas,#N/A
Mankato,Mankato,44.16362083,-93.99915674,45731.5,United States of America,US,USA,Minnesota,#N/A
Texarkana,Texarkana,33.44210472,-94.03747481,52169,United States of America,US,USA,Arkansas,#N/A
Beaumont,Beaumont,30.08626304,-94.10168278,107455.5,United States of America,US,USA,Texas,#N/A
Fayetteville,Fayetteville,36.06297833,-94.15720911,108267.5,United States of America,US,USA,Arkansas,#N/A
St. Cloud,St. Cloud,45.56120994,-94.16222172,85974,United States of America,US,USA,Minnesota,#N/A
Ft. Dodge,Ft. Dodge,42.50682273,-94.1802568,26284,United States of America,US,USA,Iowa,#N/A
Brainerd,Brainerd,46.35800885,-94.20084986,21202.5,United States of America,US,USA,Minnesota,#N/A
Fort Smith,Fort Smith,35.38622377,-94.39835718,87986.5,United States of America,US,USA,Arkansas,#N/A
Independence,Independence,39.09111391,-94.41528121,130695,United States of America,US,USA,Missouri,#N/A
Joplin,Joplin,37.08459556,-94.51307886,60290.5,United States of America,US,USA,Missouri,#N/A
Kansas City,Kansas City,39.10708851,-94.60409422,955272.5,United States of America,US,USA,Missouri,#N/A
Kansas City,Kansas City,39.11358052,-94.63014638,324221.5,United States of America,US,USA,Kansas,#N/A
Nacogdoches,Nacogdoches,31.60374147,-94.65526656,30691,United States of America,US,USA,Texas,#N/A
Lufkin,Lufkin,31.33843467,-94.72887964,38465.5,United States of America,US,USA,Texas,#N/A
Longview,Longview,32.50053428,-94.74027429,75658,United States of America,US,USA,Texas,#N/A
Galveston,Galveston,29.301143,-94.7974801,62516,United States of America,US,USA,Texas,#N/A
St. Joseph,St. Joseph,39.76903119,-94.84639185,74878.5,United States of America,US,USA,Missouri,#N/A
Bemidji,Bemidji,47.47357383,-94.88018823,14063.5,United States of America,US,USA,Minnesota,#N/A
Texas City,Texas City,29.41087791,-94.96276717,55717.5,United States of America,US,USA,Texas,#N/A
Baytown,Baytown,29.75584393,-94.96772811,76687.5,United States of America,US,USA,Texas,#N/A
Willmar,Willmar,45.12188275,-95.04330489,18432,United States of America,US,USA,Minnesota,#N/A
Spencer,Spencer,43.14528505,-95.14717452,10938.5,United States of America,US,USA,Iowa,#N/A
Pasadena,Pasadena,29.66086265,-95.14774296,388767.5,United States of America,US,USA,Texas,#N/A
Lawrence,Lawrence,38.95975242,-95.25522994,88020,United States of America,US,USA,Kansas,#N/A
Tyler,Tyler,32.35108604,-95.30078272,101561.5,United States of America,US,USA,Texas,#N/A
Houston,Houston,29.81997438,-95.33997929,4053287,United States of America,US,USA,Texas,#N/A
Freeport,Freeport,28.95948427,-95.35687748,43762,United States of America,US,USA,Texas,#N/A
Muskogee,Muskogee,35.74821718,-95.36943486,38995.5,United States of America,US,USA,Oklahoma,#N/A
Conroe,Conroe,30.31206321,-95.45586369,41643,United States of America,US,USA,Texas,#N/A
Huntsville,Huntsville,30.72376935,-95.55058659,34444.5,United States of America,US,USA,Texas,#N/A
Coffeyville,Coffeyville,37.03806093,-95.6263184,10955,United States of America,US,USA,Kansas,#N/A
Topeka,Topeka,39.05000531,-95.66998499,126830.5,United States of America,US,USA,Kansas,#N/A
McAlester,McAlester,34.93299562,-95.76597396,19894,United States of America,US,USA,Oklahoma,#N/A
Council Bluffs,Council Bluffs,41.26227338,-95.86080021,80284.5,United States of America,US,USA,Iowa,#N/A
Tulsa,Tulsa,36.12000327,-95.93002079,669434,United States of America,US,USA,Oklahoma,#N/A
Bay City,Bay City,28.98111086,-95.96435978,17487,United States of America,US,USA,Texas,#N/A
Bartlesville,Bartlesville,36.74720013,-95.98058618,24935,United States of America,US,USA,Oklahoma,#N/A
Omaha,Omaha,41.24000083,-96.00999007,643034,United States of America,US,USA,Nebraska,#N/A
Emporia,Emporia,38.40423077,-96.18137496,27796.5,United States of America,US,USA,Kansas,#N/A
Bryan,Bryan,30.67418581,-96.36968388,108156.5,United States of America,US,USA,Texas,#N/A
Sioux City,Sioux City,42.50038902,-96.39999211,87090,United States of America,US,USA,Iowa,#N/A
Manhattan,Manhattan,39.19402753,-96.59243514,51289,United States of America,US,USA,Kansas,#N/A
Crookston,Crookston,47.77376223,-96.60773137,8215.5,United States of America,US,USA,Minnesota,#N/A
Sherman,Sherman,33.63599469,-96.60858403,38696,United States of America,US,USA,Texas,#N/A
Port Lavaca,Port Lavaca,28.61601687,-96.62969385,10715.5,United States of America,US,USA,Texas,#N/A
Lincoln,Lincoln,40.81997479,-96.68000086,244146,United States of America,US,USA,Nebraska,#N/A
Sioux Falls,Sioux Falls,43.54998903,-96.7299978,148030,United States of America,US,USA,South Dakota,#N/A
Moorhead,Moorhead,46.87430808,-96.74219344,34332.5,United States of America,US,USA,Minnesota,#N/A
Brookings,Brookings,44.30676455,-96.78803044,20313.5,United States of America,US,USA,South Dakota,#N/A
Fargo,Fargo,46.8772278,-96.7894257,127472.5,United States of America,US,USA,North Dakota,#N/A
Dallas,Dallas,32.82002382,-96.84001693,3004852,United States of America,US,USA,Texas,#N/A
