,City,mean site eui,mean number of people,mean operating hours,mean occupant density,mean floor area,mean source eui
0,Birmingham,143.64764188356915,356.9230769230769,68.80846153846154,2.0250525061823,115640.11858267717,400.59503420043615
1,Mobile,107.08497851903377,,,,70016.914,315.9074425913494
2,Montgomery,112.04821458350378,,,,82585.24382022471,298.70291729244354
3,Huntsville,116.23584133804886,,,,37496.98899371069,362.0191197579272
4,Tuscaloosa,189.02111167434992,,,,119205.34950000001,514.5144608409898
5,Anchorage,133.11165316981933,,,,113163.47,270.50601113045445
6,Fairbanks,,,,,,
7,Juneau,89.36778507014479,,,,126827.53199999999,169.52435943203542
8,Palmer,116.00304241207314,,,,26812.928571428572,158.04337105265492
9,Wasilla,,,,,,
10,Phoenix,66.83963637781727,247.9451219512195,66.16115942028985,2.4171841630328075,141551.86309701492,200.35373528612823
11,Mesa,90.42759114200412,127.7,99.154,1.6352231296162696,65555.6709375,278.81993204038815
12,Tucson,111.38008582932268,105.71428571428571,105.19089285714286,1.3221745296359344,77062.20620512821,331.28890854840455
13,Glendale,75.8226994948883,424.0,80.19711111111111,2.0102895991310152,159690.9791954023,219.8519297428539
14,Yuma,89.96393597204666,,,,56023.513243243244,275.58844298085063
15,Little Rock,124.15087579414167,403.27272727272725,107.31818181818181,2.2692186267521115,113052.3362121212,334.46753393666205
16,Fayetteville,136.07864541952756,,,,66337.0302247191,364.6453462744749
17,Fort Smith,113.799439703397,,,,94551.48359999999,282.49140836429046
18,Jonesboro,128.05337743835267,,,,65864.72222222222,358.9517019895041
19,Conway,113.45161993048784,,,,67215.83333333333,312.37262585352454
20,Los Angeles,81.08795102018826,1019.3490566037735,63.419112149532715,2.631776121137456,348019.7424464832,220.28629733786977
21,San Francisco,64.64098581935791,926.9490445859873,67.74593621399177,2.656457581583929,161101.5548252003,158.42825472251909
22,San Diego,60.45139320091394,361.58196721311475,62.64138242894057,2.6271884040047584,89564.3657067603,145.16032719008146
23,Irvine,62.14202992701935,465.81333333333333,56.34576131687242,2.595103943501152,137933.8159560068,168.0179548942558
24,San Jose,81.37019324592738,384.4,67.04539007092198,2.599931570233626,105589.15790697675,222.41911505913276
25,Denver,96.39357944754987,638.22,66.38676470588236,2.3982873012709938,167341.56703266787,222.0623774521527
26,Aurora,101.43613244097916,176.25925925925927,80.20888888888888,1.6396887681861838,86601.80995670996,251.94394317266094
27,Colorado Springs,109.03124483227043,479.0,81.55454545454545,2.620595058906713,94735.16111111111,263.5064720392167
28,Fort Collins,65.14891293239022,,,,90923.75827751197,130.8245303636994
29,Pueblo,133.10803315438412,,,,55546.181818181816,356.42114167648475
30,New Haven,119.55581807723972,,,,121945.82800000001,279.3200787876063
